id,field,get_pv,set_pv
748,b2,SR07A-PC-S2B-06:I,SR07A-PC-S2B-06:SETI
749,b0,SR07A-PC-HSTR-06:I,SR07A-PC-HSTR-06:SETI
750,b0,SR07A-PC-VSTR-06:I,SR07A-PC-VSTR-06:SETI
753,b1,SR07A-PC-Q3B-08:I,SR07A-PC-Q3B-08:SETI
755,x,SR07C-DI-EBPM-06:SA:X,
755,y,SR07C-DI-EBPM-06:SA:Y,
757,b1,SR07A-PC-Q2B-09:I,SR07A-PC-Q2B-09:SETI
760,b2,SR07A-PC-S1B-07:I,SR07A-PC-S1B-07:SETI
761,b0,SR07A-PC-HSTR-07:I,SR07A-PC-HSTR-07:SETI
762,b0,SR07A-PC-VSTR-07:I,SR07A-PC-VSTR-07:SETI
765,b1,SR07A-PC-Q1B-10:I,SR07A-PC-Q1B-10:SETI
767,x,SR07C-DI-EBPM-07:SA:X,
767,y,SR07C-DI-EBPM-07:SA:Y,
781,x,SR08C-DI-EBPM-01:SA:X,
781,y,SR08C-DI-EBPM-01:SA:Y,
783,b1,SR08A-PC-Q1B-01:I,SR08A-PC-Q1B-01:SETI
786,b2,SR08A-PC-S1C-01:I,SR08A-PC-S1C-01:SETI
787,b0,SR08A-PC-HSTR-01:I,SR08A-PC-HSTR-01:SETI
788,b0,SR08A-PC-VSTR-01:I,SR08A-PC-VSTR-01:SETI
791,b1,SR08A-PC-Q2B-02:I,SR08A-PC-Q2B-02:SETI
793,b1,SR08A-PC-Q3B-03:I,SR08A-PC-Q3B-03:SETI
796,b2,SR08A-PC-S2C-02:I,SR08A-PC-S2C-02:SETI
797,b0,SR08A-PC-HSTR-02:I,SR08A-PC-HSTR-02:SETI
798,b0,SR08A-PC-VSTR-02:I,SR08A-PC-VSTR-02:SETI
801,x,SR08C-DI-EBPM-02:SA:X,
801,y,SR08C-DI-EBPM-02:SA:Y,
803,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
805,b1,SR08A-PC-Q2AB-04:I,SR08A-PC-Q2AB-04:SETI
807,x,SR08C-DI-EBPM-03:SA:X,
807,y,SR08C-DI-EBPM-03:SA:Y,
810,b2,SR08A-PC-S2A-03:I,SR08A-PC-S2A-03:SETI
811,b0,SR08A-PC-HSTR-03:I,SR08A-PC-HSTR-03:SETI
812,b0,SR08A-PC-VSTR-03:I,SR08A-PC-VSTR-03:SETI
815,b1,SR08A-PC-Q1AB-05:I,SR08A-PC-Q1AB-05:SETI
817,x,SR08C-DI-EBPM-04:SA:X,
817,y,SR08C-DI-EBPM-04:SA:Y,
820,b2,SR08A-PC-S1A-04:I,SR08A-PC-S1A-04:SETI
821,b0,SR08A-PC-HSTR-04:I,SR08A-PC-HSTR-04:SETI
822,b0,SR08A-PC-VSTR-04:I,SR08A-PC-VSTR-04:SETI
825,b1,SR08A-PC-Q1AD-06:I,SR08A-PC-Q1AD-06:SETI
828,b2,SR08A-PC-S2A-05:I,SR08A-PC-S2A-05:SETI
829,b0,SR08A-PC-HSTR-05:I,SR08A-PC-HSTR-05:SETI
830,b0,SR08A-PC-VSTR-05:I,SR08A-PC-VSTR-05:SETI
833,b1,SR08A-PC-Q2AD-07:I,SR08A-PC-Q2AD-07:SETI
835,x,SR08C-DI-EBPM-05:SA:X,
835,y,SR08C-DI-EBPM-05:SA:Y,
837,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
840,b2,SR08A-PC-S2D-06:I,SR08A-PC-S2D-06:SETI
841,b0,SR08A-PC-HSTR-06:I,SR08A-PC-HSTR-06:SETI
842,b0,SR08A-PC-VSTR-06:I,SR08A-PC-VSTR-06:SETI
845,b1,SR08A-PC-Q3D-08:I,SR08A-PC-Q3D-08:SETI
847,x,SR08C-DI-EBPM-06:SA:X,
847,y,SR08C-DI-EBPM-06:SA:Y,
849,b1,SR08A-PC-Q2D-09:I,SR08A-PC-Q2D-09:SETI
852,b2,SR08A-PC-S1D-07:I,SR08A-PC-S1D-07:SETI
853,b0,SR08A-PC-HSTR-07:I,SR08A-PC-HSTR-07:SETI
854,b0,SR08A-PC-VSTR-07:I,SR08A-PC-VSTR-07:SETI
857,b1,SR08A-PC-Q1D-10:I,SR08A-PC-Q1D-10:SETI
859,b1,SR08A-PC-QUADF-01:I,SR08A-PC-QUADF-01:SETI
865,x,SR08C-DI-EBPM-07:SA:X,
865,y,SR08C-DI-EBPM-07:SA:Y,
877,x,SR09S-DI-EBPM-01:SA:X,
877,y,SR09S-DI-EBPM-01:SA:Y,
879,b0,SR09S-PC-HSTR-01:I,SR09S-PC-HSTR-01:SETI
880,b0,SR09S-PC-VSTR-01:I,SR09S-PC-VSTR-01:SETI
886,b1,SR09S-PC-QUADD-02:I,SR09S-PC-QUADD-02:SETI
888,b1,SR09S-PC-QUADF-03:I,SR09S-PC-QUADF-03:SETI
890,x,SR09S-DI-EBPM-02:SA:X,
890,y,SR09S-DI-EBPM-02:SA:Y,
892,b0,SR09S-PC-HSTR-02:I,SR09S-PC-HSTR-02:SETI
893,b0,SR09S-PC-VSTR-02:I,SR09S-PC-VSTR-02:SETI
905,x,SR09C-DI-EBPM-01:SA:X,
905,y,SR09C-DI-EBPM-01:SA:Y,
911,b1,SR09A-PC-QUADF-04:I,SR09A-PC-QUADF-04:SETI
913,b1,SR09A-PC-Q1D-01:I,SR09A-PC-Q1D-01:SETI
916,b2,SR09A-PC-S1D-01:I,SR09A-PC-S1D-01:SETI
917,b0,SR09A-PC-HSTR-01:I,SR09A-PC-HSTR-01:SETI
918,b0,SR09A-PC-VSTR-01:I,SR09A-PC-VSTR-01:SETI
921,b1,SR09A-PC-Q2D-02:I,SR09A-PC-Q2D-02:SETI
923,b1,SR09A-PC-Q3D-03:I,SR09A-PC-Q3D-03:SETI
926,b2,SR09A-PC-S2D-02:I,SR09A-PC-S2D-02:SETI
927,b0,SR09A-PC-HSTR-02:I,SR09A-PC-HSTR-02:SETI
928,b0,SR09A-PC-VSTR-02:I,SR09A-PC-VSTR-02:SETI
931,x,SR09C-DI-EBPM-02:SA:X,
931,y,SR09C-DI-EBPM-02:SA:Y,
933,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
935,b1,SR09A-PC-Q2AD-04:I,SR09A-PC-Q2AD-04:SETI
937,x,SR09C-DI-EBPM-03:SA:X,
937,y,SR09C-DI-EBPM-03:SA:Y,
940,b2,SR09A-PC-S2A-03:I,SR09A-PC-S2A-03:SETI
941,b0,SR09A-PC-HSTR-03:I,SR09A-PC-HSTR-03:SETI
942,b0,SR09A-PC-VSTR-03:I,SR09A-PC-VSTR-03:SETI
945,b1,SR09A-PC-Q1AD-05:I,SR09A-PC-Q1AD-05:SETI
947,x,SR09C-DI-EBPM-04:SA:X,
947,y,SR09C-DI-EBPM-04:SA:Y,
950,b2,SR09A-PC-S1A-04:I,SR09A-PC-S1A-04:SETI
951,b0,SR09A-PC-HSTR-04:I,SR09A-PC-HSTR-04:SETI
952,b0,SR09A-PC-VSTR-04:I,SR09A-PC-VSTR-04:SETI
955,b1,SR09A-PC-Q1AB-06:I,SR09A-PC-Q1AB-06:SETI
958,b2,SR09A-PC-S2A-05:I,SR09A-PC-S2A-05:SETI
959,b0,SR09A-PC-HSTR-05:I,SR09A-PC-HSTR-05:SETI
960,b0,SR09A-PC-VSTR-05:I,SR09A-PC-VSTR-05:SETI
963,b1,SR09A-PC-Q2AB-07:I,SR09A-PC-Q2AB-07:SETI
965,x,SR09C-DI-EBPM-05:SA:X,
965,y,SR09C-DI-EBPM-05:SA:Y,
967,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
970,b2,SR09A-PC-S2C-06:I,SR09A-PC-S2C-06:SETI
971,b0,SR09A-PC-HSTR-06:I,SR09A-PC-HSTR-06:SETI
972,b0,SR09A-PC-VSTR-06:I,SR09A-PC-VSTR-06:SETI
975,b1,SR09A-PC-Q3B-08:I,SR09A-PC-Q3B-08:SETI
977,x,SR09C-DI-EBPM-06:SA:X,
977,y,SR09C-DI-EBPM-06:SA:Y,
979,b1,SR09A-PC-Q2B-09:I,SR09A-PC-Q2B-09:SETI
982,b2,SR09A-PC-S1C-07:I,SR09A-PC-S1C-07:SETI
983,b0,SR09A-PC-HSTR-07:I,SR09A-PC-HSTR-07:SETI
984,b0,SR09A-PC-VSTR-07:I,SR09A-PC-VSTR-07:SETI
987,b1,SR09A-PC-Q1B-10:I,SR09A-PC-Q1B-10:SETI
989,x,SR09C-DI-EBPM-07:SA:X,
989,y,SR09C-DI-EBPM-07:SA:Y,
1039,x,SR10C-DI-EBPM-01:SA:X,
1039,y,SR10C-DI-EBPM-01:SA:Y,
1041,b1,SR10A-PC-Q1B-01:I,SR10A-PC-Q1B-01:SETI
1044,b2,SR10A-PC-S1B-01:I,SR10A-PC-S1B-01:SETI
1045,b0,SR10A-PC-HSTR-01:I,SR10A-PC-HSTR-01:SETI
1046,b0,SR10A-PC-VSTR-01:I,SR10A-PC-VSTR-01:SETI
1049,b1,SR10A-PC-Q2B-02:I,SR10A-PC-Q2B-02:SETI
1051,b1,SR10A-PC-Q3B-03:I,SR10A-PC-Q3B-03:SETI
1054,b2,SR10A-PC-S2B-02:I,SR10A-PC-S2B-02:SETI
1055,b0,SR10A-PC-HSTR-02:I,SR10A-PC-HSTR-02:SETI
1056,b0,SR10A-PC-VSTR-02:I,SR10A-PC-VSTR-02:SETI
1059,x,SR10C-DI-EBPM-02:SA:X,
1059,y,SR10C-DI-EBPM-02:SA:Y,
1061,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1063,b1,SR10A-PC-Q2AB-04:I,SR10A-PC-Q2AB-04:SETI
1065,x,SR10C-DI-EBPM-03:SA:X,
1065,y,SR10C-DI-EBPM-03:SA:Y,
1068,b2,SR10A-PC-S2A-03:I,SR10A-PC-S2A-03:SETI
1069,b0,SR10A-PC-HSTR-03:I,SR10A-PC-HSTR-03:SETI
1070,b0,SR10A-PC-VSTR-03:I,SR10A-PC-VSTR-03:SETI
1073,b1,SR10A-PC-Q1AB-05:I,SR10A-PC-Q1AB-05:SETI
1075,x,SR10C-DI-EBPM-04:SA:X,
1075,y,SR10C-DI-EBPM-04:SA:Y,
1078,b2,SR10A-PC-S1A-04:I,SR10A-PC-S1A-04:SETI
1079,b0,SR10A-PC-HSTR-04:I,SR10A-PC-HSTR-04:SETI
1080,b0,SR10A-PC-VSTR-04:I,SR10A-PC-VSTR-04:SETI
1083,b1,SR10A-PC-Q1AB-06:I,SR10A-PC-Q1AB-06:SETI
1086,b2,SR10A-PC-S2A-05:I,SR10A-PC-S2A-05:SETI
1087,b0,SR10A-PC-HSTR-05:I,SR10A-PC-HSTR-05:SETI
1088,b0,SR10A-PC-VSTR-05:I,SR10A-PC-VSTR-05:SETI
1091,b1,SR10A-PC-Q2AB-07:I,SR10A-PC-Q2AB-07:SETI
1093,x,SR10C-DI-EBPM-05:SA:X,
1093,y,SR10C-DI-EBPM-05:SA:Y,
1095,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1098,b2,SR10A-PC-S2B-06:I,SR10A-PC-S2B-06:SETI
1099,b0,SR10A-PC-HSTR-06:I,SR10A-PC-HSTR-06:SETI
1100,b0,SR10A-PC-VSTR-06:I,SR10A-PC-VSTR-06:SETI
1103,b1,SR10A-PC-Q3B-08:I,SR10A-PC-Q3B-08:SETI
1105,x,SR10C-DI-EBPM-06:SA:X,
1105,y,SR10C-DI-EBPM-06:SA:Y,
1107,b1,SR10A-PC-Q2B-09:I,SR10A-PC-Q2B-09:SETI
1110,b2,SR10A-PC-S1B-07:I,SR10A-PC-S1B-07:SETI
1111,b0,SR10A-PC-HSTR-07:I,SR10A-PC-HSTR-07:SETI
1112,b0,SR10A-PC-VSTR-07:I,SR10A-PC-VSTR-07:SETI
1115,b1,SR10A-PC-Q1B-10:I,SR10A-PC-Q1B-10:SETI
1117,x,SR10C-DI-EBPM-07:SA:X,
1117,y,SR10C-DI-EBPM-07:SA:Y,
1131,x,SR11C-DI-EBPM-01:SA:X,
1131,y,SR11C-DI-EBPM-01:SA:Y,
1133,b1,SR11A-PC-Q1B-01:I,SR11A-PC-Q1B-01:SETI
1136,b2,SR11A-PC-S1B-01:I,SR11A-PC-S1B-01:SETI
1137,b0,SR11A-PC-HSTR-01:I,SR11A-PC-HSTR-01:SETI
1138,b0,SR11A-PC-VSTR-01:I,SR11A-PC-VSTR-01:SETI
1141,b1,SR11A-PC-Q2B-02:I,SR11A-PC-Q2B-02:SETI
1143,b1,SR11A-PC-Q3B-03:I,SR11A-PC-Q3B-03:SETI
1146,b2,SR11A-PC-S2B-02:I,SR11A-PC-S2B-02:SETI
1147,b0,SR11A-PC-HSTR-02:I,SR11A-PC-HSTR-02:SETI
1148,b0,SR11A-PC-VSTR-02:I,SR11A-PC-VSTR-02:SETI
1151,x,SR11C-DI-EBPM-02:SA:X,
1151,y,SR11C-DI-EBPM-02:SA:Y,
1153,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1155,b1,SR11A-PC-Q2AB-04:I,SR11A-PC-Q2AB-04:SETI
1157,x,SR11C-DI-EBPM-03:SA:X,
1157,y,SR11C-DI-EBPM-03:SA:Y,
1160,b2,SR11A-PC-S2A-03:I,SR11A-PC-S2A-03:SETI
1161,b0,SR11A-PC-HSTR-03:I,SR11A-PC-HSTR-03:SETI
1162,b0,SR11A-PC-VSTR-03:I,SR11A-PC-VSTR-03:SETI
1165,b1,SR11A-PC-Q1AB-05:I,SR11A-PC-Q1AB-05:SETI
1167,x,SR11C-DI-EBPM-04:SA:X,
1167,y,SR11C-DI-EBPM-04:SA:Y,
1170,b2,SR11A-PC-S1A-04:I,SR11A-PC-S1A-04:SETI
1171,b0,SR11A-PC-HSTR-04:I,SR11A-PC-HSTR-04:SETI
1172,b0,SR11A-PC-VSTR-04:I,SR11A-PC-VSTR-04:SETI
1175,b1,SR11A-PC-Q1AB-06:I,SR11A-PC-Q1AB-06:SETI
1178,b2,SR11A-PC-S2A-05:I,SR11A-PC-S2A-05:SETI
1179,b0,SR11A-PC-HSTR-05:I,SR11A-PC-HSTR-05:SETI
1180,b0,SR11A-PC-VSTR-05:I,SR11A-PC-VSTR-05:SETI
1183,b1,SR11A-PC-Q2AB-07:I,SR11A-PC-Q2AB-07:SETI
1185,x,SR11C-DI-EBPM-05:SA:X,
1185,y,SR11C-DI-EBPM-05:SA:Y,
1187,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1190,b2,SR11A-PC-S2B-06:I,SR11A-PC-S2B-06:SETI
1191,b0,SR11A-PC-HSTR-06:I,SR11A-PC-HSTR-06:SETI
1192,b0,SR11A-PC-VSTR-06:I,SR11A-PC-VSTR-06:SETI
1195,b1,SR11A-PC-Q3B-08:I,SR11A-PC-Q3B-08:SETI
1197,x,SR11C-DI-EBPM-06:SA:X,
1197,y,SR11C-DI-EBPM-06:SA:Y,
1199,b1,SR11A-PC-Q2B-09:I,SR11A-PC-Q2B-09:SETI
1202,b2,SR11A-PC-S1B-07:I,SR11A-PC-S1B-07:SETI
1203,b0,SR11A-PC-HSTR-07:I,SR11A-PC-HSTR-07:SETI
1204,b0,SR11A-PC-VSTR-07:I,SR11A-PC-VSTR-07:SETI
1207,b1,SR11A-PC-Q1B-10:I,SR11A-PC-Q1B-10:SETI
1209,x,SR11C-DI-EBPM-07:SA:X,
1209,y,SR11C-DI-EBPM-07:SA:Y,
1223,x,SR12C-DI-EBPM-01:SA:X,
1223,y,SR12C-DI-EBPM-01:SA:Y,
1225,b1,SR12A-PC-Q1B-01:I,SR12A-PC-Q1B-01:SETI
1228,b2,SR12A-PC-S1C-01:I,SR12A-PC-S1C-01:SETI
1229,b0,SR12A-PC-HSTR-01:I,SR12A-PC-HSTR-01:SETI
1230,b0,SR12A-PC-VSTR-01:I,SR12A-PC-VSTR-01:SETI
1233,b1,SR12A-PC-Q2B-02:I,SR12A-PC-Q2B-02:SETI
1235,b1,SR12A-PC-Q3B-03:I,SR12A-PC-Q3B-03:SETI
1238,b2,SR12A-PC-S2C-02:I,SR12A-PC-S2C-02:SETI
1239,b0,SR12A-PC-HSTR-02:I,SR12A-PC-HSTR-02:SETI
1240,b0,SR12A-PC-VSTR-02:I,SR12A-PC-VSTR-02:SETI
1243,x,SR12C-DI-EBPM-02:SA:X,
1243,y,SR12C-DI-EBPM-02:SA:Y,
1245,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1247,b1,SR12A-PC-Q2AB-04:I,SR12A-PC-Q2AB-04:SETI
1249,x,SR12C-DI-EBPM-03:SA:X,
1249,y,SR12C-DI-EBPM-03:SA:Y,
1252,b2,SR12A-PC-S2A-03:I,SR12A-PC-S2A-03:SETI
1253,b0,SR12A-PC-HSTR-03:I,SR12A-PC-HSTR-03:SETI
1254,b0,SR12A-PC-VSTR-03:I,SR12A-PC-VSTR-03:SETI
1257,b1,SR12A-PC-Q1AB-05:I,SR12A-PC-Q1AB-05:SETI
1259,x,SR12C-DI-EBPM-04:SA:X,
1259,y,SR12C-DI-EBPM-04:SA:Y,
1262,b2,SR12A-PC-S1A-04:I,SR12A-PC-S1A-04:SETI
1263,b0,SR12A-PC-HSTR-04:I,SR12A-PC-HSTR-04:SETI
1264,b0,SR12A-PC-VSTR-04:I,SR12A-PC-VSTR-04:SETI
1267,b1,SR12A-PC-Q1AD-06:I,SR12A-PC-Q1AD-06:SETI
1270,b2,SR12A-PC-S2A-05:I,SR12A-PC-S2A-05:SETI
1271,b0,SR12A-PC-HSTR-05:I,SR12A-PC-HSTR-05:SETI
1272,b0,SR12A-PC-VSTR-05:I,SR12A-PC-VSTR-05:SETI
1275,b1,SR12A-PC-Q2AD-07:I,SR12A-PC-Q2AD-07:SETI
1277,x,SR12C-DI-EBPM-05:SA:X,
1277,y,SR12C-DI-EBPM-05:SA:Y,
1279,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1282,b2,SR12A-PC-S2D-06:I,SR12A-PC-S2D-06:SETI
1283,b0,SR12A-PC-HSTR-06:I,SR12A-PC-HSTR-06:SETI
1284,b0,SR12A-PC-VSTR-06:I,SR12A-PC-VSTR-06:SETI
1287,b1,SR12A-PC-Q3D-08:I,SR12A-PC-Q3D-08:SETI
1289,x,SR12C-DI-EBPM-06:SA:X,
1289,y,SR12C-DI-EBPM-06:SA:Y,
1291,b1,SR12A-PC-Q2D-09:I,SR12A-PC-Q2D-09:SETI
1294,b2,SR12A-PC-S1D-07:I,SR12A-PC-S1D-07:SETI
1295,b0,SR12A-PC-HSTR-07:I,SR12A-PC-HSTR-07:SETI
1296,b0,SR12A-PC-VSTR-07:I,SR12A-PC-VSTR-07:SETI
1299,b1,SR12A-PC-Q1D-10:I,SR12A-PC-Q1D-10:SETI
1301,b1,SR12A-PC-QUADF-01:I,SR12A-PC-QUADF-01:SETI
1307,x,SR12C-DI-EBPM-07:SA:X,
1307,y,SR12C-DI-EBPM-07:SA:Y,
1319,x,SR13S-DI-EBPM-01:SA:X,
1319,y,SR13S-DI-EBPM-01:SA:Y,
1321,b0,SR13S-PC-HSTR-01:I,SR13S-PC-HSTR-01:SETI
1322,b0,SR13S-PC-VSTR-01:I,SR13S-PC-VSTR-01:SETI
1328,b1,SR13S-PC-QUADD-02:I,SR13S-PC-QUADD-02:SETI
1330,b1,SR13S-PC-QUADF-03:I,SR13S-PC-QUADF-03:SETI
1332,x,SR13S-DI-EBPM-02:SA:X,
1332,y,SR13S-DI-EBPM-02:SA:Y,
1334,b0,SR13S-PC-HSTR-02:I,SR13S-PC-HSTR-02:SETI
1335,b0,SR13S-PC-VSTR-02:I,SR13S-PC-VSTR-02:SETI
1347,x,SR13C-DI-EBPM-01:SA:X,
1347,y,SR13C-DI-EBPM-01:SA:Y,
1353,b1,SR13A-PC-QUADF-04:I,SR13A-PC-QUADF-04:SETI
1355,b1,SR13A-PC-Q1D-01:I,SR13A-PC-Q1D-01:SETI
1358,b2,SR13A-PC-S1D-01:I,SR13A-PC-S1D-01:SETI
1359,b0,SR13A-PC-HSTR-01:I,SR13A-PC-HSTR-01:SETI
1360,b0,SR13A-PC-VSTR-01:I,SR13A-PC-VSTR-01:SETI
1363,b1,SR13A-PC-Q2D-02:I,SR13A-PC-Q2D-02:SETI
1365,b1,SR13A-PC-Q3D-03:I,SR13A-PC-Q3D-03:SETI
1368,b2,SR13A-PC-S2D-02:I,SR13A-PC-S2D-02:SETI
1369,b0,SR13A-PC-HSTR-02:I,SR13A-PC-HSTR-02:SETI
1370,b0,SR13A-PC-VSTR-02:I,SR13A-PC-VSTR-02:SETI
1373,x,SR13C-DI-EBPM-02:SA:X,
1373,y,SR13C-DI-EBPM-02:SA:Y,
1375,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1377,b1,SR13A-PC-Q2AD-04:I,SR13A-PC-Q2AD-04:SETI
1379,x,SR13C-DI-EBPM-03:SA:X,
1379,y,SR13C-DI-EBPM-03:SA:Y,
1382,b2,SR13A-PC-S2A-03:I,SR13A-PC-S2A-03:SETI
1383,b0,SR13A-PC-HSTR-03:I,SR13A-PC-HSTR-03:SETI
1384,b0,SR13A-PC-VSTR-03:I,SR13A-PC-VSTR-03:SETI
1387,b1,SR13A-PC-Q1AD-05:I,SR13A-PC-Q1AD-05:SETI
1389,x,SR13C-DI-EBPM-04:SA:X,
1389,y,SR13C-DI-EBPM-04:SA:Y,
1392,b2,SR13A-PC-S1A-04:I,SR13A-PC-S1A-04:SETI
1393,b0,SR13A-PC-HSTR-04:I,SR13A-PC-HSTR-04:SETI
1394,b0,SR13A-PC-VSTR-04:I,SR13A-PC-VSTR-04:SETI
1397,b1,SR13A-PC-Q1AB-06:I,SR13A-PC-Q1AB-06:SETI
1400,b2,SR13A-PC-S2A-05:I,SR13A-PC-S2A-05:SETI
1401,b0,SR13A-PC-HSTR-05:I,SR13A-PC-HSTR-05:SETI
1402,b0,SR13A-PC-VSTR-05:I,SR13A-PC-VSTR-05:SETI
1405,b1,SR13A-PC-Q2AB-07:I,SR13A-PC-Q2AB-07:SETI
1407,x,SR13C-DI-EBPM-05:SA:X,
1407,y,SR13C-DI-EBPM-05:SA:Y,
1409,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1412,b2,SR13A-PC-S2C-06:I,SR13A-PC-S2C-06:SETI
1413,b0,SR13A-PC-HSTR-06:I,SR13A-PC-HSTR-06:SETI
1414,b0,SR13A-PC-VSTR-06:I,SR13A-PC-VSTR-06:SETI
1417,b1,SR13A-PC-Q3B-08:I,SR13A-PC-Q3B-08:SETI
1419,x,SR13C-DI-EBPM-06:SA:X,
1419,y,SR13C-DI-EBPM-06:SA:Y,
1421,b1,SR13A-PC-Q2B-09:I,SR13A-PC-Q2B-09:SETI
1424,b2,SR13A-PC-S1C-07:I,SR13A-PC-S1C-07:SETI
1425,b0,SR13A-PC-HSTR-07:I,SR13A-PC-HSTR-07:SETI
1426,b0,SR13A-PC-VSTR-07:I,SR13A-PC-VSTR-07:SETI
1429,b1,SR13A-PC-Q1B-10:I,SR13A-PC-Q1B-10:SETI
1431,x,SR13C-DI-EBPM-07:SA:X,
1431,y,SR13C-DI-EBPM-07:SA:Y,
1445,x,SR14C-DI-EBPM-01:SA:X,
1445,y,SR14C-DI-EBPM-01:SA:Y,
